,bookname,count
490,2008年全国会计专业技术资格考试辅导用书精选题库及精华答疑.财务管理,6
491,2008年度注册会计师全国统一考试经典题解.会计,12
492,2008年度注册会计师全国统一考试经典题解.审计,7
493,2008年度注册会计师全国统一考试经典题解.税法,14
494,2008年度注册会计师全国统一考试经典题解.经济法,12
495,2008年度注册会计师全国统一考试经典题解.财务成本管理,5
496,2008年我最喜爱的中国散文100篇,4
497,2008年法律硕士专业学位研究生联考配套用书.自测试题题解,1
498,2008年法律硕士联考考试大纲重要知识点深度解析及模拟试卷-第5版,5
499,2008年注册会计师考试学习指南及强化练习.税法,7
500,2008年考研政治实用经典教程-第2版,1
501,2008年考研数学历年真题解析与应试对策.理工类,2
502,2008年考研数学新编考试参考书,20
503,2008年考研数学最新精选600题:理工类,14
504,2008年考研数学最新精选600题:经济类,1
505,2008年考研英语经典讲义,12
506,2008年考研英语词汇复习指南-第9版,19
507,2008年考研英语词汇必备-第9版,7
508,2008年考研英语阅读完形翻译全突破-第4版,5
509,2008年证券业从业资格考试全程应试辅导精要.证券交易,3
510,2008年证券业从业资格考试全程应试辅导精要.证券发行与承销,2
511,2008年证券业从业资格考试全程应试辅导精要.证券市场基础知识,4
512,2008年证券业从业资格考试全程应试辅导精要.证券投资分析,4
513,2008年证券业从业资格考试全程应试辅导精要.证券投资基金,2
514,2008建筑学研究生论文概要集,1
515,2008散文,3
516,2008注册表全攻略,6
517,2008流行歌曲精选,3
518,2008电脑活用精华本:硬件·数码特辑,5
519,2008短篇小说,6
520,2008美国总统大选实录,9
521,2008考研历届数学真题题型解析 (数学二)-第2版,12
522,2008考研政治考点大全,1
523,2008考研英语拆分与组合翻译法,7
524,2008考研英语第一时间:升级版.相似易混单词对比记忆,2
525,2008象棋全国杯赛精彩对局解析,1
526,2008：中国制造:体坛故事,1
527,2009 MBA联考备考教程.写作分册,1
528,2009 MBA联考备考教程.逻辑分册,3
529,2009NBF考研英语透彻式阅读100篇,1
530,2009中国市场前景报告.第2版,1
531,2009中国经济预测与展望,2
532,2009中国金融市场分析与预测,2
533,2009全国一级建造师执业资格考试命题趋势权威试卷:《建设工程经济》《建设工程法规及相关知识》《建设工程,2
534,2009全国一级建造师执业资格考试考点题解及模拟试卷.建筑工程管理与实务.第2版,1
535,2009全国一级建造师执业资格考试考点题解及模拟试卷.建设工程法规及相关知识.第2版,2
536,2009全国一级建造师执业资格考试考点题解及模拟试卷.建设工程经济.第2版,1
537,2009全国二级建造师执业资格考试全真模拟试卷.建筑工程施工管理,3
538,2009全国二级建造师执业资格考试全真模拟试卷.建筑工程管理与实务,5
539,2009全国二级建造师执业资格考试全真模拟试卷.建设工程法规及相关知识,2
540,2009全国注册城市规划师执业资格考试配套模拟试卷.城市规划原理,1
541,2009全国注册城市规划师执业资格考试配套模拟试卷.城市规划相关知识,1
542,2009全国注册城市规划师执业资格考试配套模拟试卷.城市规划管理与法规,1
543,2009全国监理工程师执业资格考试轻松过关考点案例分析,1
544,2009全国硕士研究生入学考试辅导教材.数学,9
545,2009全国造价工程师执业资格考试复习题集,2
546,2009全国造价工程师执业资格考试应试一本通,1
547,2009全国造价工程师执业资格考试用书.理论科目复习精练,1
548,2009司法考试必考疑难专题精解:飞跃版,1
549,2009司法考试教材精读30天,5
550,2009司法考试民商法记忆通,1
551,2009国家公务员录用考试历年真题新解:2000-2008,8
552,2009国家公务员录用考试实战教材.申论,9
553,2009国家公务员录用考试实战教材.行政职业能力,6
554,2009国家公务员录用考试行政职业能力测验历年真题归类精解,2
555,2009国家公务员录用考试行政职业能力经典集训,6
556,2009国家司法考试.国际法.第2版,2
557,2009国家司法考试全攻略.刑法,2
558,2009国家司法考试全攻略.商法·经济法,3
559,2009国家司法考试全攻略.国际法学,2
560,2009国家司法考试全攻略.宪法·行政法与行政诉讼法,2
561,2009国家司法考试全攻略.民事诉讼法与仲裁制度,3
562,2009国家司法考试全攻略.民法 (含知识产权法),5
563,2009国家司法考试全攻略.法理学·法制史·司法职业道德,3
564,2009国家司法考试同步训练题解.民法,1
565,2009地方公务员录用考试历年真题新解:北京、上海、浙江、江苏.法制版,4
566,2009年GCT (硕士专业学位) 联考辅导教程.语文分册,1
567,2009年一级注册建筑师资格考试建筑材料与建筑构造模拟知识题.第2版,2
568,2009年一级注册结构工程师 (房屋结构) 执业资格考试基础考试复习教程.第4版,3
569,2009年世界经济形势分析与预测,1
570,2009年中国社会形势分析与预测,1
571,"2009年全国一、二级注册建筑师考试模拟题解.1,知识.第4版",5
572,2009年全国一、二级注册建筑师考试模拟题解:作图.2,2
573,"2009年全国一级注册建筑师考试培训辅导用书.7,建筑方案设计建筑技术设计场地设计(作图).第4版",1
574,2009年全国硕士研究生入学统一考试英语考试大纲解析:非英语专业,1
575,2009年全国硕士研究生入学统一考试计算机学科联考全程辅导.第2版,2
576,2009年宫东风教授考研英语.考研英语词汇复习指南,4
577,2009年法律硕士联考考试大纲配套练习.第7版,4
578,2009年注会考试提高阶段应试指导及全真模拟测试.审计,6
579,2009年注会考试提高阶段应试指导及全真模拟测试.税法,10
580,2009年注册岩土工程师执业资格考试基础考试复习教程.下.第4版,2
581,2009年注册岩土工程师执业资格考试基础考试复习题集.第3版,3
582,"2009年注册税务师考试应试指导及全真模拟测试.I,税法",1
583,2009年考研政治1000客观题突破新大纲200核心考点,2
584,2009年考研政治大纲知识点精解,11
585,2009年考研政治理论全真模拟试卷:最后冲刺十五套,1
586,2009年考研政治理论历年真题解析与应试对策,1
587,2009年考研政治经典题库,8
588,2009年考研政治考试大纲核心考点背诵,9
589,2009年考研政治考试大纲配套练习题库,3
590,2009年考研数学历年真题解析与应试对策.理工类,8
591,2009年考研英语专项突破.英语知识运用、翻译和写作,3
592,2009年考研英语专项突破.阅读理解A、B节,1
593,2009年考研英语写作专项突破.第8版,8
594,2009年考研英语写作突破100题,5
595,2009年考研英语冲刺预测试卷:含考点精解,1
596,2009年考研英语历年真题解析与应试对策,4
597,2009年考研英语必备.第4版,13
598,2009年考研英语短文写作及英汉翻译.第10版,10
599,2009年考研英语词汇复习指南.第10版,18
